review,rating,date,bank,app_name,source,package_name,user_name,thumbs_up
Standard banking app with room for improvement in user experience.,3,2024-03-23,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User5624,11
Outdated interface and confusing navigation. Needs complete redesign.,2,2023-11-29,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User2644,20
Fast money transfer feature is amazing. No more long queues at the bank!,3,2024-01-16,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User9096,6
App works as expected. Would like to see more payment options added.,3,2024-06-02,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User5432,20
Decent banking app with basic features. Nothing special but gets the job done. Been using this app for months now.,3,2023-09-25,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User3741,15
Functional but not exceptional. Meets basic banking needs adequately.,3,2023-08-08,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User8688,9
Login issues persist for weeks. Cannot access my account properly. Been using this app for months now.,2,2024-11-29,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User8007,2
Basic functionality is there but the design could be more modern.,3,2024-11-13,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User1210,6
App keeps crashing when I try to make payments. Very frustrating!,2,2024-08-07,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User2141,4
Very convenient for paying bills and checking account balance anytime.,5,2025-03-01,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User1577,18
Bill payment feature never works properly. Always shows server errors. Overall satisfied with the service.,1,2024-03-03,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User5162,13
"Great user experience! The design is modern and intuitive. Comparing to other banks, this is my experience.",5,2024-08-17,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User2065,3
App works as expected. Would like to see more payment options added. Been using this app for months now.,3,2024-06-29,Commercial Bank of Ethiopia,Commercial Bank of Ethiopia Mobile Banking,Google Play,com.commercialethiopia.mobile,User7737,0
