review,rating,date,bank,source,review_length,word_count,rating_category,sentiment_polarity,year,month
Standard banking app with room for improvement in user experience.,3,2024-03-23,Commercial Bank of Ethiopia,Google Play,66,10,Average,Neutral,2024,3
Outdated interface and confusing navigation. Needs complete redesign.,2,2023-11-29,Commercial Bank of Ethiopia,Google Play,69,8,Poor,Negative,2023,11
Fast money transfer feature is amazing. No more long queues at the bank!,3,2024-01-16,Commercial Bank of Ethiopia,Google Play,72,13,Average,Neutral,2024,1
App works as expected. Would like to see more payment options added.,3,2024-06-02,Commercial Bank of Ethiopia,Google Play,68,12,Average,Neutral,2024,6
Decent banking app with basic features. Nothing special but gets the job done. Been using this app for months now.,3,2023-09-25,Commercial Bank of Ethiopia,Google Play,114,20,Average,Neutral,2023,9
Functional but not exceptional. Meets basic banking needs adequately.,3,2023-08-08,Commercial Bank of Ethiopia,Google Play,69,9,Average,Neutral,2023,8
Login issues persist for weeks. Cannot access my account properly. Been using this app for months now.,2,2024-11-29,Commercial Bank of Ethiopia,Google Play,102,17,Poor,Negative,2024,11
Basic functionality is there but the design could be more modern.,3,2024-11-13,Commercial Bank of Ethiopia,Google Play,65,11,Average,Neutral,2024,11
App keeps crashing when I try to make payments. Very frustrating!,2,2024-08-07,Commercial Bank of Ethiopia,Google Play,65,11,Poor,Negative,2024,8
Very convenient for paying bills and checking account balance anytime.,5,2025-03-01,Commercial Bank of Ethiopia,Google Play,70,10,Excellent,Positive,2025,3
Bill payment feature never works properly. Always shows server errors. Overall satisfied with the service.,1,2024-03-03,Commercial Bank of Ethiopia,Google Play,106,15,Very Poor,Negative,2024,3
"Great user experience! The design is modern and intuitive. Comparing to other banks, this is my experience.",5,2024-08-17,Commercial Bank of Ethiopia,Google Play,107,17,Excellent,Positive,2024,8
App works as expected. Would like to see more payment options added. Been using this app for months now.,3,2024-06-29,Commercial Bank of Ethiopia,Google Play,104,19,Average,Neutral,2024,6
Unable to check account balance. App is unreliable and buggy.,2,2023-10-15,Commercial Bank of Ethiopia,Google Play,61,10,Poor,Negative,2023,10
Poor customer service. No response to my complaints about app errors.,2,2024-03-29,Commercial Bank of Ethiopia,Google Play,69,11,Poor,Negative,2024,3
Love the new features. Makes banking so much easier than going to the branch.,4,2024-11-21,Commercial Bank of Ethiopia,Google Play,77,14,Good,Positive,2024,11
Great user experience! The design is modern and intuitive.,4,2024-07-25,Commercial Bank of Ethiopia,Google Play,58,9,Good,Positive,2024,7
Acceptable app performance though it could be faster and more responsive.,3,2025-04-29,Commercial Bank of Ethiopia,Google Play,73,11,Average,Neutral,2025,4
Quick and secure payments. The app works perfectly on my phone.,5,2023-08-27,Commercial Bank of Ethiopia,Google Play,63,11,Excellent,Positive,2023,8
Best banking app I ve used. Transaction history is very clear and detailed.,5,2024-07-19,Commercial Bank of Ethiopia,Google Play,75,13,Excellent,Positive,2024,7
"Unable to check account balance. App is unreliable and buggy. Comparing to other banks, this is my experience.",2,2024-05-28,Commercial Bank of Ethiopia,Google Play,110,18,Poor,Negative,2024,5
