review,rating,date,bank,source,review_length,word_count,rating_category,sentiment_polarity,year,month,vader_compound,vader_positive,vader_neutral,vader_negative,vader_label,textblob_polarity,textblob_subjectivity,textblob_label,distilbert_positive,distilbert_negative,distilbert_label,distilbert_confidence,ensemble_label,ensemble_confidence
Standard banking app with room for improvement in user experience.,3,2024-03-23,Commercial Bank of Ethiopia,Google Play,66,10,Average,Neutral,2024,3,0.4588,0.25,0.75,0.0,Positive,0.0,0.0,Neutral,0.0,0.0,Neutral,0.0,Neutral,0.6666666666666666
Outdated interface and confusing navigation. Needs complete redesign.,2,2023-11-29,Commercial Bank of Ethiopia,Google Play,69,8,Poor,Negative,2023,11,-0.2263,0.0,0.787,0.213,Negative,-0.20000000000000004,0.47777777777777786,Negative,0.0,0.0,Neutral,0.0,Negative,0.6666666666666666
Fast money transfer feature is amazing. No more long queues at the bank!,3,2024-01-16,Commercial Bank of Ethiopia,Google Play,72,13,Average,Neutral,2024,1,0.4389,0.237,0.636,0.127,Positive,0.12187500000000001,0.6,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
App works as expected. Would like to see more payment options added.,3,2024-06-02,Commercial Bank of Ethiopia,Google Play,68,12,Average,Neutral,2024,6,0.3612,0.185,0.815,0.0,Positive,0.2,0.45,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Decent banking app with basic features. Nothing special but gets the job done. Been using this app for months now.,3,2023-09-25,Commercial Bank of Ethiopia,Google Play,114,20,Average,Neutral,2023,9,-0.1603,0.0,0.921,0.079,Negative,0.17460317460317462,0.45436507936507936,Positive,0.0,0.0,Neutral,0.0,Negative,0.3333333333333333
Functional but not exceptional. Meets basic banking needs adequately.,3,2023-08-08,Commercial Bank of Ethiopia,Google Play,69,9,Average,Neutral,2023,8,0.0,0.0,1.0,0.0,Neutral,0.0,0.4861111111111111,Neutral,0.0,0.0,Neutral,0.0,Neutral,1.0
Login issues persist for weeks. Cannot access my account properly. Been using this app for months now.,2,2024-11-29,Commercial Bank of Ethiopia,Google Play,102,17,Poor,Negative,2024,11,0.0,0.0,1.0,0.0,Neutral,0.0,0.1,Neutral,0.0,0.0,Neutral,0.0,Neutral,1.0
Basic functionality is there but the design could be more modern.,3,2024-11-13,Commercial Bank of Ethiopia,Google Play,65,11,Average,Neutral,2024,11,0.0,0.0,1.0,0.0,Neutral,0.2333333333333333,0.30833333333333335,Positive,0.0,0.0,Neutral,0.0,Neutral,0.6666666666666666
App keeps crashing when I try to make payments. Very frustrating!,2,2024-08-07,Commercial Bank of Ethiopia,Google Play,65,11,Poor,Negative,2024,8,-0.54,0.0,0.742,0.258,Negative,-0.65,1.0,Negative,0.0,0.0,Neutral,0.0,Negative,0.6666666666666666
Very convenient for paying bills and checking account balance anytime.,5,2025-03-01,Commercial Bank of Ethiopia,Google Play,70,10,Excellent,Positive,2025,3,0.0,0.0,1.0,0.0,Neutral,0.2,0.3,Positive,0.0,0.0,Neutral,0.0,Neutral,0.6666666666666666
Bill payment feature never works properly. Always shows server errors. Overall satisfied with the service.,1,2024-03-03,Commercial Bank of Ethiopia,Google Play,106,15,Very Poor,Negative,2024,3,0.1027,0.154,0.714,0.132,Positive,0.16666666666666666,0.3666666666666667,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
"Great user experience! The design is modern and intuitive. Comparing to other banks, this is my experience.",5,2024-08-17,Commercial Bank of Ethiopia,Google Play,107,17,Excellent,Positive,2024,8,0.6588,0.215,0.785,0.0,Positive,0.35833333333333334,0.47500000000000003,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
App works as expected. Would like to see more payment options added. Been using this app for months now.,3,2024-06-29,Commercial Bank of Ethiopia,Google Play,104,19,Average,Neutral,2024,6,0.3612,0.122,0.878,0.0,Positive,0.2,0.45,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Unable to check account balance. App is unreliable and buggy.,2,2023-10-15,Commercial Bank of Ethiopia,Google Play,61,10,Poor,Negative,2023,10,0.0,0.0,1.0,0.0,Neutral,-0.5,0.5,Negative,0.0,0.0,Neutral,0.0,Neutral,0.6666666666666666
Poor customer service. No response to my complaints about app errors.,2,2024-03-29,Commercial Bank of Ethiopia,Google Play,69,11,Poor,Negative,2024,3,-0.8555,0.0,0.402,0.598,Negative,-0.4,0.6,Negative,0.0,0.0,Neutral,0.0,Negative,0.6666666666666666
Love the new features. Makes banking so much easier than going to the branch.,4,2024-11-21,Commercial Bank of Ethiopia,Google Play,77,14,Good,Positive,2024,11,0.8062,0.378,0.622,0.0,Positive,0.2787878787878788,0.41818181818181815,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Great user experience! The design is modern and intuitive.,4,2024-07-25,Commercial Bank of Ethiopia,Google Play,58,9,Good,Positive,2024,7,0.6588,0.354,0.646,0.0,Positive,0.6,0.525,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Acceptable app performance though it could be faster and more responsive.,3,2025-04-29,Commercial Bank of Ethiopia,Google Play,73,11,Average,Neutral,2025,4,0.624,0.361,0.639,0.0,Positive,0.5,0.5,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Quick and secure payments. The app works perfectly on my phone.,5,2023-08-27,Commercial Bank of Ethiopia,Google Play,63,11,Excellent,Positive,2023,8,0.765,0.423,0.577,0.0,Positive,0.5777777777777778,0.7000000000000001,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Best banking app I ve used. Transaction history is very clear and detailed.,5,2024-07-19,Commercial Bank of Ethiopia,Google Play,75,13,Excellent,Positive,2024,7,0.796,0.392,0.608,0.0,Positive,0.5099999999999999,0.5161111111111111,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
"Unable to check account balance. App is unreliable and buggy. Comparing to other banks, this is my experience.",2,2024-05-28,Commercial Bank of Ethiopia,Google Play,110,18,Poor,Negative,2024,5,0.0,0.0,1.0,0.0,Neutral,-0.3125,0.4375,Negative,0.0,0.0,Neutral,0.0,Neutral,0.6666666666666666
